윤진호,LG,0.25,26,10,8,1,2,0,0,0,2,0,1,0
정상호,LG,0.25,19,36,32,1,8,2,0,0,10,3,2,0
김용의,LG,0.242,33,72,62,7,15,1,0,0,16,3,3,0
안익훈,LG,0.196,22,105,97,8,19,4,0,0,23,6,2,1
강승호,LG,0.191,32,109,94,4,18,4,0,1,25,10,3,1
문선재,LG,0.167,2,6,6,0,1,0,0,0,1,0,0,0
박지규,LG,0.1,9,13,10,0,1,0,0,0,1,0,1,0
백승현,LG,0,2,1,1,0,0,0,0,0,0,0,0,0
나성범,NC,0.349,47,199,186,36,65,11,0,9,103,28,0,1
윤수강,NC,0.313,7,18,16,3,5,3,0,0,8,4,1,0
윤병호,NC,0.3,7,24,20,3,6,1,0,0,7,0,1,0
노진혁,NC,0.281,47,150,135,17,38,5,2,2,53,11,1,1
김성욱,NC,0.274,47,161,146,23,40,4,0,7,65,16,0,0
스크럭스,NC,0.272,46,177,151,23,41,10,0,8,75,25,0,2
박석민,NC,0.252,37,135,115,7,29,6,0,5,50,18,0,1
모창민,NC,0.25,45,167,148,17,37,7,0,5,59,30,0,3
최준석,NC,0.25,36,79,72,3,18,2,0,2,26,12,0,0
박민우,NC,0.238,36,136,126,14,30,3,2,1,40,9,1,2
이상호,NC,0.234,41,71,64,7,15,2,0,0,17,2,2,0
이원재,NC,0.222,12,20,18,3,4,0,0,2,10,3,0,0
이종욱,NC,0.215,36,112,107,12,23,6,0,1,32,6,1,1
권희동,NC,0.207,10,30,29,3,6,3,0,0,9,1,0,0
강진성,NC,0.206,26,39,34,4,7,1,0,0,8,0,2,0
지석훈,NC,0.195,27,45,41,4,8,1,0,0,9,4,0,1
신진호,NC,0.182,20,25,22,1,4,0,0,0,4,1,0,0
이재율,NC,0.16,22,28,25,5,4,1,1,0,7,1,0,0
정범모,NC,0.154,43,99,91,6,14,4,0,1,21,6,1,2
손시헌,NC,0.103,17,47,39,5,4,2,0,1,9,6,0,0
강윤구,NC,,2,0,0,0,0,0,0,0,0,0,0,0
김종민,NC,0,3,1,1,0,0,0,0,0,0,0,0,0
김진성,NC,,2,0,0,0,0,0,0,0,0,0,0,0
도태훈,NC,0,5,6,5,0,0,0,0,0,0,0,0,0
박광열,NC,0,5,4,3,0,0,0,0,0,0,0,0,0
배재환,NC,,1,0,0,0,0,0,0,0,0,0,0,0
오영수,NC,0,1,4,4,0,0,0,0,0,0,0,0,0
이민호,NC,0,3,1,1,0,0,0,0,0,0,0,0,0
임창민,NC,,1,0,0,0,0,0,0,0,0,0,0,0
정수민,NC,,1,0,0,0,0,0,0,0,0,0,0,0
박승욱,SK,0.381,13,24,21,1,8,1,0,0,9,4,1,0
로맥,SK,0.37,44,194,165,37,61,9,0,14,112,35,0,2
이재원,SK,0.331,43,155,127,22,42,8,0,3,59,14,3,1
김성현,SK,0.321,39,118,109,12,35,7,0,1,45,17,0,2
이성우,SK,0.308,22,29,26,3,8,2,0,0,10,1,1,0
노수광,SK,0.305,44,174,154,24,47,7,3,2,66,13,4,0
나주환,SK,0.286,39,149,133,20,38,8,0,4,58,22,4,0
정진기,SK,0.274,42,126,117,24,32,5,1,2,45,13,2,0
최항,SK,0.264,27,78,72,13,19,7,1,0,28,8,0,0
최정,SK,0.255,44,195,165,39,42,8,0,18,104,38,0,0
최승준,SK,0.243,26,77,70,5,17,3,0,4,32,11,0,0
김동엽,SK,0.235,40,158,149,22,35,6,0,10,71,25,0,2
정의윤,SK,0.232,31,105,95,9,22,6,0,7,49,19,0,1
한동민,SK,0.217,40,167,143,27,31,7,0,8,62,23,0,1
박성한,SK,0.172,16,34,29,1,5,1,0,0,6,1,0,0
김재현,SK,0.167,4,8,6,1,1,0,0,0,1,0,0,0
김강민,SK,,3,0,0,0,0,0,0,0,0,0,0,0
박정배,SK,,4,0,0,0,0,0,0,0,0,0,0,0

